index,delta3_1,delta3_2,delta2_1,label
245,208,217,-9,lay
246,200,209,-9,lay
247,209,209,0,lay
248,209,200,9,lay
249,209,200,9,lay
250,209,200,9,lay
251,209,209,0,lay
252,217,217,0,lay
253,217,217,0,lay
254,217,208,9,lay
255,209,200,9,lay
256,209,200,9,lay
257,209,209,0,lay
258,209,209,0,lay
259,209,209,0,lay
260,209,209,0,lay
261,209,209,0,lay
262,209,209,0,lay
263,209,200,9,lay
264,217,208,9,lay
265,217,208,9,lay
266,217,208,9,lay
267,209,200,9,lay
268,209,200,9,lay
269,209,209,0,lay
270,209,209,0,lay
271,200,209,-9,lay
272,200,209,-9,lay
273,200,209,-9,lay
274,209,209,0,lay
275,209,209,0,lay
276,209,209,0,lay
277,209,209,0,lay
278,209,200,9,lay
279,209,200,9,lay
280,200,200,0,lay
281,200,200,0,lay
282,200,200,0,lay
283,200,200,0,lay
284,200,200,0,lay
285,200,200,0,lay
286,209,200,9,lay
287,209,200,9,lay
288,209,200,9,lay
289,200,200,0,lay
290,200,200,0,lay
291,191,191,0,lay
292,191,191,0,lay
293,191,200,-9,lay
294,200,209,-9,lay
295,200,209,-9,lay
296,200,200,0,lay
297,200,200,0,lay
298,200,200,0,lay
299,200,209,-9,lay
300,200,209,-9,lay
301,209,209,0,lay
302,209,209,0,lay
303,200,200,0,lay
304,191,200,-9,lay
305,191,191,0,lay
306,200,200,0,lay
307,209,200,9,lay
308,209,200,9,lay
309,209,200,9,lay
310,209,200,9,lay
311,209,200,9,lay
312,209,200,9,lay
313,209,200,9,lay
314,209,209,0,lay
315,209,209,0,lay
316,200,209,-9,lay
317,200,200,0,lay
318,208,208,0,lay
319,208,208,0,lay
320,208,217,-9,lay
321,191,200,-9,lay
322,200,200,0,lay
323,200,191,9,lay
324,200,191,9,lay
325,200,191,9,lay
326,200,191,9,lay
327,200,191,9,lay
328,191,191,0,lay
329,191,200,-9,lay
330,200,209,-9,lay
331,200,209,-9,lay
332,200,200,0,lay
333,200,200,0,lay
334,200,200,0,lay
335,200,209,-9,lay
336,200,209,-9,lay
337,200,209,-9,lay
338,200,200,0,lay
339,200,200,0,lay
340,209,200,9,lay
341,209,200,9,lay
342,209,200,9,lay
343,209,200,9,lay
344,209,209,0,lay
345,209,209,0,lay
346,200,209,-9,lay
347,200,209,-9,lay
348,200,209,-9,lay
349,209,209,0,lay
350,209,209,0,lay
351,209,209,0,lay
352,209,209,0,lay
353,209,200,9,lay
354,200,191,9,lay
355,191,191,0,lay
356,191,200,-9,lay
357,191,200,-9,lay
358,200,200,0,lay
359,200,191,9,lay
360,209,200,9,lay
361,209,200,9,lay
362,209,200,9,lay
363,200,191,9,lay
364,200,191,9,lay
365,200,200,0,lay
366,209,209,0,lay
367,209,209,0,lay
368,209,200,9,lay
369,209,200,9,lay
370,209,200,9,lay
371,209,200,9,lay
372,209,200,9,lay
373,209,200,9,lay
374,209,200,9,lay
375,209,200,9,lay
376,209,200,9,lay
377,209,209,0,lay
378,209,209,0,lay
379,209,209,0,lay
380,209,200,9,lay
381,209,200,9,lay
382,209,200,9,lay
383,209,200,9,lay
384,200,191,9,lay
385,200,191,9,lay
386,200,200,0,lay
387,209,209,0,lay
388,209,209,0,lay
389,209,209,0,lay
390,217,217,0,lay
391,217,217,0,lay
392,217,217,0,lay
393,200,200,0,lay
394,200,200,0,lay
395,200,200,0,lay
396,209,209,0,lay
397,209,209,0,lay
398,209,200,9,lay
399,209,200,9,lay
400,209,200,9,lay
401,209,200,9,lay
402,209,200,9,lay
403,209,200,9,lay
404,209,200,9,lay
405,209,200,9,lay
406,209,200,9,lay
407,209,200,9,lay
408,209,200,9,lay
409,209,200,9,lay
410,209,209,0,lay
411,209,209,0,lay
412,209,209,0,lay
413,209,200,9,lay
414,209,200,9,lay
415,209,200,9,lay
416,209,200,9,lay
417,200,191,9,lay
418,200,191,9,lay
419,200,191,9,lay
420,209,200,9,lay
421,217,200,17,lay
422,217,200,17,lay
423,208,191,17,lay
424,208,191,17,lay
425,208,191,17,lay
426,217,200,17,lay
427,209,200,9,lay
428,209,209,0,lay
429,209,209,0,lay
430,209,209,0,lay
431,209,209,0,lay
432,209,209,0,lay
433,209,209,0,lay
434,209,209,0,lay
435,209,209,0,lay
436,209,209,0,lay
437,209,200,9,lay
438,209,200,9,lay
439,209,200,9,lay
440,209,209,0,lay
441,209,209,0,lay
442,209,209,0,lay
443,209,200,9,lay
444,200,191,9,lay
445,200,191,9,lay
446,200,200,0,lay
447,209,209,0,lay
448,209,209,0,lay
449,209,209,0,lay
450,209,209,0,lay
451,209,209,0,lay
452,209,209,0,lay
453,200,200,0,lay
454,200,200,0,lay
455,200,200,0,lay
456,209,209,0,lay
457,200,209,-9,lay
458,200,200,0,lay
459,191,191,0,lay
460,208,191,17,lay
461,208,191,17,lay
462,217,200,17,lay
463,209,200,9,lay
464,209,200,9,lay
465,209,200,9,lay
466,209,200,9,lay
467,209,200,9,lay
468,200,191,9,lay
469,208,191,17,lay
470,208,200,8,lay
471,217,209,8,lay
472,217,209,8,lay
473,217,200,17,lay
474,208,191,17,lay
475,200,191,9,lay
476,200,200,0,lay
477,209,209,0,lay
478,209,209,0,lay
479,209,209,0,lay
480,209,209,0,lay
481,209,209,0,lay
482,209,200,9,lay
483,209,200,9,lay
484,209,200,9,lay
485,209,200,9,lay
486,209,200,9,lay
487,209,200,9,lay
488,209,200,9,lay
489,209,200,9,lay
490,209,200,9,lay
491,209,200,9,lay
492,209,200,9,lay
493,209,200,9,lay
494,209,209,0,lay
495,217,217,0,lay
496,217,217,0,lay
497,217,217,0,lay
498,200,200,0,lay
499,200,200,0,lay
500,200,191,9,lay
501,209,200,9,lay
502,209,200,9,lay
503,209,200,9,lay
504,209,200,9,lay
505,209,200,9,lay
506,209,209,0,lay
507,209,209,0,lay
508,209,209,0,lay
509,209,209,0,lay
510,209,209,0,lay
511,209,209,0,lay
512,209,200,9,lay
513,200,191,9,lay
514,208,191,17,lay
515,208,200,8,lay
516,208,200,8,lay
517,200,200,0,lay
518,200,191,9,lay
519,209,200,9,lay
520,217,200,17,lay
521,217,200,17,lay
522,217,200,17,lay
523,209,200,9,lay
524,209,209,0,lay
525,209,209,0,lay
526,209,209,0,lay
527,209,200,9,lay
528,209,200,9,lay
529,217,200,17,lay
530,217,209,8,lay
531,217,209,8,lay
532,209,209,0,lay
533,209,200,9,lay
534,209,200,9,lay
535,209,200,9,lay
536,209,200,9,lay
537,200,191,9,lay
538,208,191,17,lay
539,208,208,0,lay
540,217,217,0,lay
541,209,217,-8,lay
542,209,200,9,lay
543,209,200,9,lay
544,209,200,9,lay
545,209,209,0,lay
546,209,209,0,lay
547,209,209,0,lay
548,209,209,0,lay
549,209,209,0,lay
550,217,209,8,lay
551,217,200,17,lay
552,217,200,17,lay
553,209,200,9,lay
554,209,209,0,lay
555,200,200,0,lay
556,200,200,0,lay
557,200,200,0,lay
558,209,209,0,lay
559,209,209,0,lay
560,209,209,0,lay
561,209,209,0,lay
562,217,209,8,lay
563,217,209,8,lay
564,217,209,8,lay
565,209,209,0,lay
566,209,209,0,lay
567,200,200,0,lay
568,200,200,0,lay
569,200,200,0,lay
570,209,209,0,lay
571,209,209,0,lay
572,209,200,9,lay
573,200,191,9,lay
574,200,191,9,lay
575,200,191,9,lay
576,209,200,9,lay
577,209,200,9,lay
578,209,209,0,lay
579,209,209,0,lay
580,217,209,8,lay
581,217,209,8,lay
582,217,209,8,lay
583,209,209,0,lay
584,209,209,0,lay
585,200,200,0,lay
586,200,200,0,lay
587,200,200,0,lay
588,209,209,0,lay
589,209,209,0,lay
590,209,209,0,lay
591,209,209,0,lay
592,217,209,8,lay
593,217,209,8,lay
594,208,200,8,lay
595,200,200,0,lay
596,200,200,0,lay
597,217,217,0,lay
598,217,217,0,lay
599,217,217,0,lay
600,209,209,0,lay
601,209,209,0,lay
602,209,209,0,lay
603,209,209,0,lay
604,209,209,0,lay
605,209,200,9,lay
606,209,200,9,lay
607,209,200,9,lay
608,209,200,9,lay
609,209,200,9,lay
610,209,200,9,lay
611,209,209,0,lay
612,209,209,0,lay
613,209,209,0,lay
614,209,209,0,lay
615,209,209,0,lay
616,217,209,8,lay
617,217,209,8,lay
618,217,209,8,lay
619,217,209,8,lay
620,217,209,8,lay
621,217,209,8,lay
622,209,209,0,lay
623,209,200,9,lay
624,217,208,9,lay
625,225,208,17,lay
626,225,208,17,lay
627,217,200,17,lay
628,209,200,9,lay
629,209,209,0,lay
630,209,209,0,lay
631,209,209,0,lay
632,209,209,0,lay
633,209,209,0,lay
634,209,209,0,lay
635,209,209,0,lay
636,200,200,0,lay
637,208,200,8,lay
638,208,191,17,lay
639,217,200,17,lay
640,217,200,17,lay
641,217,209,8,lay
642,225,217,8,lay
643,217,217,0,lay
644,217,217,0,lay
645,200,200,0,lay
646,208,200,8,lay
647,208,200,8,lay
648,208,200,8,lay
649,208,200,8,lay
650,208,208,0,lay
651,217,217,0,lay
652,209,217,-8,lay
653,209,200,9,lay
654,200,191,9,lay
655,208,191,17,lay
656,208,200,8,lay
657,208,200,8,lay
658,208,200,8,lay
659,208,200,8,lay
660,217,209,8,lay
661,209,209,0,lay
662,209,209,0,lay
663,209,209,0,lay
664,209,209,0,lay
665,209,200,9,lay
666,209,200,9,lay
667,217,200,17,lay
668,217,209,8,lay
669,217,209,8,lay
670,209,209,0,lay
671,209,209,0,lay
672,209,209,0,lay
673,209,209,0,lay
674,209,209,0,lay
675,209,209,0,lay
676,209,209,0,lay
677,209,209,0,lay
678,200,200,0,lay
679,200,200,0,lay
680,200,200,0,lay
681,209,209,0,lay
682,209,209,0,lay
683,209,209,0,lay
684,209,209,0,lay
685,217,209,8,lay
686,217,200,17,lay
687,225,208,17,lay
688,225,208,17,lay
689,225,217,8,lay
690,208,200,8,lay
691,208,200,8,lay
692,208,191,17,lay
693,208,191,17,lay
694,208,191,17,lay
695,208,191,17,lay
696,208,191,17,lay
697,200,191,9,lay
698,200,200,0,lay
699,209,209,0,lay
700,209,209,0,lay
701,209,209,0,lay
702,209,209,0,lay
703,217,209,8,lay
704,217,209,8,lay
705,217,209,8,lay
706,209,209,0,lay
707,209,200,9,lay
708,209,200,9,lay
709,217,200,17,lay
710,217,209,8,lay
711,208,200,8,lay
712,191,200,-9,lay
713,191,191,0,lay
714,200,200,0,lay
715,217,200,17,lay
716,217,209,8,lay
717,217,209,8,lay
718,209,209,0,lay
719,209,200,9,lay
720,209,200,9,lay
721,217,200,17,lay
722,217,209,8,lay
723,217,209,8,lay
724,209,209,0,lay
725,209,209,0,lay
726,209,209,0,lay
727,209,209,0,lay
728,209,209,0,lay
729,200,200,0,lay
730,208,200,8,lay
731,208,200,8,lay
732,217,209,8,lay
733,209,209,0,lay
734,209,209,0,lay
735,209,209,0,lay
736,217,209,8,lay
737,217,200,17,lay
738,217,200,17,lay
739,209,200,9,lay
740,209,209,0,lay
741,200,200,0,lay
742,200,200,0,lay
743,200,200,0,lay
744,200,200,0,lay
745,200,200,0,lay
746,200,200,0,lay
747,209,209,0,lay
748,209,209,0,lay
749,209,209,0,lay
750,200,200,0,lay
751,208,200,8,lay
752,208,200,8,lay
753,208,200,8,lay
754,200,200,0,lay
755,200,200,0,lay
756,209,209,0,lay
757,200,209,-9,lay
758,200,209,-9,lay
759,200,209,-9,lay
760,209,209,0,lay
761,209,209,0,lay
762,209,209,0,lay
763,217,209,8,lay
764,217,209,8,lay
765,217,209,8,lay
766,217,209,8,lay
767,217,200,17,lay
768,217,200,17,lay
769,209,200,9,lay
770,209,209,0,lay
771,200,200,0,lay
772,200,200,0,lay
773,200,200,0,lay
774,209,209,0,lay
775,217,209,8,lay
776,217,209,8,lay
777,208,200,8,lay
778,200,200,0,lay
779,200,200,0,lay
780,200,200,0,lay
781,200,200,0,lay
782,200,200,0,lay
783,209,209,0,lay
784,209,209,0,lay
785,209,200,9,lay
786,200,191,9,lay
787,208,191,17,lay
788,208,200,8,lay
789,217,209,8,lay
790,217,209,8,lay
791,217,209,8,lay
792,217,209,8,lay
793,209,209,0,lay
794,209,209,0,lay
795,209,209,0,lay
796,209,209,0,lay
797,209,209,0,lay
798,200,200,0,lay
799,208,200,8,lay
800,208,200,8,lay
801,208,200,8,lay
802,200,200,0,lay
803,200,200,0,lay
804,200,200,0,lay
805,200,200,0,lay
806,200,200,0,lay
807,209,209,0,lay
808,209,209,0,lay
809,209,200,9,lay
810,209,200,9,lay
811,217,200,17,lay
812,217,209,8,lay
813,217,209,8,lay
814,209,209,0,lay
815,209,209,0,lay
816,209,209,0,lay
817,209,209,0,lay
818,209,200,9,lay
819,209,200,9,lay
820,217,200,17,lay
821,217,209,8,lay
822,217,209,8,lay
823,209,209,0,lay
824,209,209,0,lay
825,209,209,0,lay
826,217,209,8,lay
827,217,209,8,lay
828,208,200,8,lay
829,200,200,0,lay
830,200,200,0,lay
831,209,209,0,lay
832,209,209,0,lay
833,209,209,0,lay
834,209,209,0,lay
835,209,209,0,lay
836,209,209,0,lay
837,200,200,0,lay
838,200,200,0,lay
839,200,200,0,lay
840,209,209,0,lay
841,217,209,8,lay
842,217,209,8,lay
843,208,200,8,lay
844,208,200,8,lay
845,208,200,8,lay
846,217,209,8,lay
847,217,209,8,lay
848,217,209,8,lay
849,208,200,8,lay
850,208,200,8,lay
851,208,200,8,lay
852,217,209,8,lay
853,209,209,0,lay
854,209,209,0,lay
855,209,209,0,lay
856,209,209,0,lay
857,209,209,0,lay
858,217,217,0,lay
859,217,217,0,lay
860,217,217,0,lay
861,209,209,0,lay
862,217,209,8,lay
863,217,209,8,lay
864,217,209,8,lay
865,209,209,0,lay
866,209,209,0,lay
867,200,200,0,lay
868,208,200,8,lay
869,208,191,17,lay
870,217,200,17,lay
871,209,200,9,lay
872,209,209,0,lay
873,200,200,0,lay
874,200,200,0,lay
875,200,200,0,lay
876,209,209,0,lay
877,217,209,8,lay
878,217,200,17,lay
879,217,200,17,lay
880,217,200,17,lay
881,217,209,8,lay
882,217,209,8,lay
883,217,209,8,lay
884,217,200,17,lay
885,217,200,17,lay
886,217,200,17,lay
887,217,200,17,lay
888,217,200,17,lay
889,209,200,9,lay
890,209,209,0,lay
891,209,209,0,lay
892,209,209,0,lay
893,209,200,9,lay
894,200,191,9,lay
895,200,191,9,lay
896,200,200,0,lay
897,200,200,0,lay
898,208,200,8,lay
899,208,200,8,lay
900,208,200,8,lay
901,208,200,8,lay
902,208,208,0,lay
903,217,217,0,lay
904,217,217,0,lay
905,217,209,8,lay
906,217,209,8,lay
907,209,209,0,lay
908,209,209,0,lay
909,209,209,0,lay
910,217,209,8,lay
911,217,200,17,lay
912,217,200,17,lay
913,217,200,17,lay
914,217,209,8,lay
915,217,209,8,lay
916,217,209,8,lay
917,217,209,8,lay
918,217,209,8,lay
919,209,209,0,lay
920,209,200,9,lay
921,200,191,9,lay
922,200,191,9,lay
923,200,191,9,lay
924,209,200,9,lay
925,209,200,9,lay
926,209,209,0,lay
927,200,200,0,lay
928,208,200,8,lay
929,208,191,17,lay
930,217,200,17,lay
931,217,200,17,lay
932,217,200,17,lay
933,217,200,17,lay
934,209,200,9,lay
935,209,209,0,lay
936,209,209,0,lay
937,209,209,0,lay
938,209,209,0,lay
939,200,200,0,lay
940,200,200,0,lay
941,200,200,0,lay
942,209,209,0,lay
943,217,209,8,lay
944,217,209,8,lay
945,208,200,8,lay
946,200,200,0,lay
947,200,200,0,lay
948,200,200,0,lay
949,200,200,0,lay
950,200,191,9,lay
951,209,200,9,lay
952,209,200,9,lay
953,209,209,0,lay
954,209,209,0,lay
955,209,209,0,lay
956,209,200,9,lay
957,209,200,9,lay
958,209,200,9,lay
959,209,209,0,lay
960,209,209,0,lay
961,217,209,8,lay
962,217,209,8,lay
963,217,209,8,lay
964,209,209,0,lay
965,209,200,9,lay
966,209,200,9,lay
967,209,200,9,lay
968,209,209,0,lay
969,209,209,0,lay
970,209,209,0,lay
971,209,209,0,lay
972,209,209,0,lay
973,209,209,0,lay
974,209,200,9,lay
975,200,191,9,lay
976,200,191,9,lay
977,200,191,9,lay
978,209,200,9,lay
979,217,200,17,lay
980,217,209,8,lay
981,208,200,8,lay
982,200,200,0,lay
983,200,200,0,lay
984,209,209,0,lay
985,209,209,0,lay
986,209,200,9,lay
987,209,200,9,lay
988,209,200,9,lay
989,209,209,0,lay
990,209,209,0,lay
991,209,209,0,lay
992,209,209,0,lay
993,209,209,0,lay
994,209,209,0,lay
995,209,200,9,lay
996,209,200,9,lay
997,217,200,17,lay
998,217,200,17,lay
999,217,200,17,lay
1000,217,200,17,lay
1001,217,200,17,lay
1002,217,200,17,lay
1003,209,200,9,lay
1004,209,200,9,lay
1005,200,191,9,lay
1006,200,191,9,lay
1007,200,200,0,lay
1008,209,209,0,lay
1009,209,209,0,lay
1010,209,209,0,lay
1011,209,209,0,lay
1012,209,209,0,lay
1013,209,209,0,lay
1014,200,200,0,lay
1015,208,200,8,lay
1016,208,200,8,lay
1017,217,209,8,lay
1018,209,209,0,lay
1019,209,217,-8,lay
1020,209,217,-8,lay
1021,209,217,-8,lay
1022,209,200,9,lay
1023,209,200,9,lay
1024,209,200,9,lay
1025,209,209,0,lay
1026,200,200,0,lay
1027,208,200,8,lay
1028,208,200,8,lay
1029,208,200,8,lay
1030,200,200,0,lay
1031,200,200,0,lay
1032,209,209,0,lay
1033,209,209,0,lay
1034,209,200,9,lay
1035,209,200,9,lay
1036,217,200,17,lay
1037,217,209,8,lay
1038,217,209,8,lay
1039,217,209,8,lay
1040,217,209,8,lay
1041,217,209,8,lay
1042,217,209,8,lay
1043,217,209,8,lay
1044,208,200,8,lay
1045,200,200,0,lay
1046,200,191,9,lay
1047,209,200,9,lay
1048,209,200,9,lay
1049,209,200,9,lay
1050,209,200,9,lay
1051,217,200,17,lay
1052,217,209,8,lay
1053,208,200,8,lay
1054,208,200,8,lay
1055,208,191,17,lay
1056,225,208,17,lay
1057,225,208,17,lay
1058,225,225,0,lay
1059,208,208,0,lay
1060,200,208,-8,lay
1061,200,200,0,lay
1062,209,209,0,lay
1063,209,209,0,lay
1064,209,209,0,lay
1065,200,200,0,lay
1066,208,200,8,lay
1067,208,200,8,lay
1068,217,209,8,lay
1069,209,209,0,lay
1070,209,209,0,lay
1071,200,200,0,lay
1072,208,200,8,lay
1073,208,200,8,lay
1074,217,209,8,lay
1075,209,209,0,lay
1076,209,209,0,lay
1077,209,209,0,lay
1078,209,209,0,lay
1079,209,200,9,lay
1080,209,200,9,lay
1081,209,200,9,lay
1082,209,217,-8,lay
1083,209,217,-8,lay
1084,209,217,-8,lay
1085,209,209,0,lay
1086,209,209,0,lay
1087,209,209,0,lay
1088,209,200,9,lay
1089,209,200,9,lay
1090,209,200,9,lay
1091,209,209,0,lay
1092,209,209,0,lay
1093,209,209,0,lay
1094,209,209,0,lay
1095,209,209,0,lay
1096,217,209,8,lay
1097,217,200,17,lay
1098,217,200,17,lay
1099,217,200,17,lay
1100,217,209,8,lay
1101,217,209,8,lay
1102,209,209,0,lay
1103,209,209,0,lay
1104,209,209,0,lay
1105,209,209,0,lay
1106,209,200,9,lay
1107,209,200,9,lay
1108,209,200,9,lay
1109,209,209,0,lay
1110,209,209,0,lay
1111,209,209,0,lay
1112,209,200,9,lay
1113,209,200,9,lay
1114,209,200,9,lay
1115,209,200,9,lay
1116,209,200,9,lay
1117,209,200,9,lay
1118,209,209,0,lay
1119,209,209,0,lay
1120,209,209,0,lay
1121,209,209,0,lay
1122,209,209,0,lay
1123,209,209,0,lay
1124,209,209,0,lay
1125,209,209,0,lay
1126,217,209,8,lay
1127,217,200,17,lay
1128,217,200,17,lay
1129,209,200,9,lay
1130,209,200,9,lay
1131,200,191,9,lay
1132,200,191,9,lay
1133,200,208,-8,lay
1134,209,217,-8,lay
1135,209,217,-8,lay
1136,209,209,0,lay
1137,209,209,0,lay
1138,217,209,8,lay
1139,217,209,8,lay
1140,208,200,8,lay
1141,200,200,0,lay
1142,200,208,-8,lay
1143,209,217,-8,lay
1144,209,217,-8,lay
1145,209,209,0,lay
1146,209,209,0,lay
1147,200,209,-9,lay
1148,200,209,-9,lay
1149,191,200,-9,lay
1150,200,200,0,lay
1151,200,200,0,lay
1152,209,209,0,lay
1153,209,209,0,lay
1154,209,209,0,lay
1155,200,200,0,lay
1156,200,200,0,lay
1157,200,200,0,lay
1158,200,200,0,lay
