index,delta3_1,delta3_2,delta2_1,label
0,367,259,108,stand
1,359,259,100,stand
2,359,267,92,stand
3,350,258,92,stand
4,350,258,92,stand
5,350,250,100,stand
6,359,259,100,stand
7,367,259,108,stand
8,367,267,100,stand
9,367,267,100,stand
10,367,267,100,stand
11,367,267,100,stand
12,358,258,100,stand
13,358,258,100,stand
14,358,258,100,stand
15,367,267,100,stand
16,367,267,100,stand
17,367,267,100,stand
18,367,267,100,stand
19,367,267,100,stand
20,367,267,100,stand
21,367,267,100,stand
22,367,267,100,stand
23,367,267,100,stand
24,367,267,100,stand
25,375,267,108,stand
26,375,267,108,stand
27,383,275,108,stand
28,375,275,100,stand
29,375,267,108,stand
30,367,259,108,stand
31,367,259,108,stand
32,367,259,108,stand
33,358,250,108,stand
34,366,250,116,stand
35,366,258,108,stand
36,375,267,108,stand
37,375,267,108,stand
38,375,259,116,stand
39,375,259,116,stand
40,367,259,108,stand
41,367,259,108,stand
42,358,250,108,stand
43,366,250,116,stand
44,366,258,108,stand
45,375,267,108,stand
46,359,267,92,stand
47,359,267,92,stand
48,350,258,92,stand
49,358,258,100,stand
50,358,258,100,stand
51,358,258,100,stand
52,358,258,100,stand
53,358,258,100,stand
54,358,258,100,stand
55,358,258,100,stand
56,358,258,100,stand
57,367,267,100,stand
58,384,267,117,stand
59,384,259,125,stand
60,375,250,125,stand
61,366,250,116,stand
62,366,250,116,stand
63,375,259,116,stand
64,375,259,116,stand
65,375,259,116,stand
66,375,259,116,stand
67,375,259,116,stand
68,375,267,108,stand
69,366,258,108,stand
70,366,258,108,stand
71,366,250,116,stand
72,383,267,116,stand
73,383,267,116,stand
74,383,267,116,stand
75,383,267,116,stand
76,383,267,116,stand
77,383,267,116,stand
78,383,267,116,stand
79,375,267,108,stand
80,375,267,108,stand
81,358,250,108,stand
82,366,250,116,stand
83,366,250,116,stand
84,375,259,116,stand
85,384,259,125,stand
86,384,259,125,stand
87,384,259,125,stand
88,375,259,116,stand
89,375,259,116,stand
90,375,259,116,stand
91,367,259,108,stand
92,367,267,100,stand
93,367,267,100,stand
94,384,267,117,stand
95,384,267,117,stand
96,384,267,117,stand
97,367,267,100,stand
98,367,259,108,stand
99,367,259,108,stand
100,375,259,116,stand
101,375,259,116,stand
102,375,259,116,stand
103,384,259,125,stand
104,384,267,117,stand
105,384,267,117,stand
106,375,267,108,stand
107,375,259,116,stand
108,375,259,116,stand
109,375,259,116,stand
110,375,267,108,stand
111,375,267,108,stand
112,384,267,117,stand
113,384,267,117,stand
114,384,267,117,stand
115,384,267,117,stand
116,384,259,125,stand
117,392,267,125,stand
118,392,267,125,stand
119,392,267,125,stand
120,384,259,125,stand
121,375,259,116,stand
122,375,259,116,stand
123,375,259,116,stand
124,375,259,116,stand
125,375,259,116,stand
126,375,259,116,stand
127,375,259,116,stand
128,375,259,116,stand
129,366,250,116,stand
130,366,250,116,stand
131,366,250,116,stand
132,375,259,116,stand
133,375,259,116,stand
134,375,267,108,stand
135,375,267,108,stand
136,367,267,100,stand
137,367,259,108,stand
138,367,259,108,stand
139,375,259,116,stand
140,375,259,116,stand
141,375,259,116,stand
142,367,259,108,stand
143,367,259,108,stand
144,367,259,108,stand
145,367,259,108,stand
146,367,267,100,stand
147,367,267,100,stand
148,375,267,108,stand
149,375,259,116,stand
150,375,259,116,stand
151,375,259,116,stand
152,375,259,116,stand
153,375,259,116,stand
154,375,259,116,stand
